include,name,country,substrate,category,description_es,microbiota,source_ref
yes,Adobera de la Sierra de Amula,México (Jalisco),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Panela de Soyatlán,México (Jalisco),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Cotija,México (Michoacán/Jalisco),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Chongos Zamoranos,México (Michoacán),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Tepeque,México (Michoacán),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Quesillo de Los Reyes Etla,México (Oaxaca),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso de Aro de Etla,México (Oaxaca),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Seco Encerado del Istmo,México (Oaxaca),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Fresco de Chiautla,México (Puebla),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Seco de Chiautla,México (Puebla),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso de Prensa de la Costa Chica,México (Guerrero/Oaxaca),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Seco de la Tierra Caliente,México (Guerrero),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Tenate de Hidalgo,México (Hidalgo),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Asadero de Aguascalientes,México (Aguascalientes),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Fresco de Mazatán,México (Sonora),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Cocido de Sonora,México (Sonora),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Ahumado de la Joya,México (Veracruz),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Enreatado (de Cincho),México (Veracruz),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso de Hoja de Veracruz,México (Veracruz),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Jarocho,México (Veracruz),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Tenate de Tlaxco fresco,México (Tlaxcala),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Tenate de Tlaxco madurado,México (Tlaxcala),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Guaje de Tanquian,México (San Luis Potosí),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
